iter	Passed	Remaining
432	1578	2066
433	1581	2062
434	1585	2059
435	1588	2055
436	1592	2051
437	1596	2048
438	1599	2044
439	1603	2040
440	1606	2036
441	1610	2033
442	1614	2029
443	1618	2026
444	1621	2022
445	1625	2019
446	1629	2015
447	1632	2011
448	1636	2008
449	1640	2004
450	1644	2001
451	1647	1997
452	1651	1993
453	1654	1990
454	1658	1986
455	1662	1983
456	1665	1979
457	1669	1975
458	1673	1971
459	1676	1968
460	1680	1964
461	1683	1960
462	1687	1957
463	1691	1953
464	1694	1950
465	1698	1946
466	1702	1942
467	1705	1939
468	1709	1935
469	1713	1931
470	1716	1927
471	1720	1924
472	1724	1920
473	1727	1917
474	1731	1913
475	1735	1910
476	1738	1906
477	1742	1902
478	1745	1898
479	1749	1895
480	1753	1891
481	1756	1888
482	1760	1884
483	1763	1880
484	1767	1877
485	1771	1873
486	1775	1869
487	1778	1866
488	1782	1862
489	1786	1859
490	1789	1855
491	1793	1851
492	1796	1848
493	1800	1844
494	1804	1840
495	1807	1836
496	1811	1833
497	1815	1829
498	1818	1826
499	1822	1822
500	1826	1818
501	1829	1815
502	1833	1811
503	1837	1808
504	1841	1804
505	1845	1801
506	1848	1797
507	1852	1794
508	1856	1791
509	1860	1787
510	1864	1784
511	1868	1780
512	1872	1777
513	1876	1774
514	1879	1770
515	1883	1766
516	1887	1763
517	1891	1759
518	1894	1756
519	1898	1752
520	1902	1749
521	1906	1745
522	1909	1741
523	1913	1738
524	1917	1734
525	1921	1731
526	1924	1727
527	1928	1724
528	1932	1720
529	1952	1731
530	1956	1727
531	1960	1724
532	1963	1720
533	1967	1717
534	1971	1713
535	1975	1710
536	1979	1706
537	1983	1702
538	1986	1699
539	1990	1695
540	1994	1691
541	1998	1688
542	2001	1684
543	2005	1681
544	2009	1677
545	2013	1673
546	2017	1670
547	2020	1666
548	2024	1663
549	2028	1659
550	2032	1656
551	2035	1652
552	2039	1648
553	2043	1645
554	2047	1641
555	2050	1637
556	2054	1634
557	2058	1630
558	2062	1626
559	2065	1623
560	2069	1619
561	2073	1616
562	2077	1612
563	2080	1608
564	2084	1604
565	2088	1601
566	2092	1597
567	2095	1593
568	2099	1590
569	2103	1586
570	2107	1583
571	2110	1579
572	2114	1575
573	2118	1572
574	2122	1568
575	2125	1564
576	2129	1561
577	2133	1557
578	2137	1554
579	2141	1550
580	2144	1546
581	2148	1543
582	2152	1539
583	2155	1535
584	2159	1531
585	2163	1528
586	2166	1524
587	2170	1520
588	2173	1516
589	2177	1513
590	2181	1509
591	2184	1505
592	2188	1502
593	2192	1498
594	2195	1494
595	2199	1490
596	2203	1487
597	2206	1483
598	2210	1479
599	2214	1476
600	2217	1472
601	2221	1468
602	2224	1464
603	2228	1461
604	2232	1457
605	2235	1453
606	2239	1450
607	2243	1446
608	2247	1442
609	2250	1438
610	2254	1435
611	2258	1431
612	2262	1428
613	2265	1424
614	2269	1420
615	2273	1417
616	2277	1413
617	2280	1409
618	2284	1406
619	2288	1402
620	2292	1398
621	2295	1395
622	2299	1391
623	2303	1387
624	2307	1384
625	2311	1380
626	2314	1377
627	2318	1373
628	2322	1369
629	2326	1366
630	2330	1362
631	2333	1358
632	2337	1355
633	2341	1351
634	2345	1348
635	2349	1344
636	2352	1340
637	2356	1337
638	2360	1333
639	2364	1330
640	2368	1326
641	2372	1322
642	2376	1319
643	2379	1315
644	2383	1311
645	2387	1308
646	2391	1304
647	2394	1300
648	2398	1297
649	2402	1293
650	2405	1289
651	2409	1286
652	2413	1282
653	2417	1278
654	2420	1275
655	2424	1271
656	2428	1267
657	2432	1264
658	2435	1260
659	2439	1256
660	2443	1253
661	2447	1249
662	2451	1245
663	2454	1242
664	2458	1238
665	2462	1234
666	2466	1231
667	2469	1227
668	2473	1223
669	2477	1220
670	2480	1216
671	2484	1212
672	2488	1209
673	2491	1205
674	2495	1201
675	2499	1197
676	2503	1194
677	2507	1190
678	2510	1187
679	2514	1183
680	2518	1179
681	2522	1176
682	2526	1172
683	2529	1168
684	2533	1164
685	2537	1161
686	2540	1157
687	2544	1153
688	2548	1150
689	2551	1146
690	2555	1142
691	2559	1139
692	2563	1135
693	2567	1131
694	2570	1128
695	2574	1124
696	2578	1120
697	2582	1117
698	2585	1113
699	2589	1109
700	2593	1106
701	2598	1103
702	2602	1099
703	2605	1095
704	2609	1091
705	2613	1088
706	2616	1084
707	2620	1080
708	2624	1077
709	2628	1073
710	2632	1070
711	2636	1066
712	2647	1065
713	2652	1062
714	2658	1059
715	2665	1057
716	2669	1053
717	2673	1049
718	2678	1046
719	2682	1043
720	2687	1039
721	2690	1036
722	2694	1032
723	2698	1028
724	2702	1025
725	2706	1021
726	2709	1017
727	2713	1013
728	2717	1010
729	2721	1006
730	2724	1002
731	2728	999
732	2732	995
733	2736	991
734	2739	987
735	2743	984
736	2747	980
737	2751	976
738	2754	972
739	2758	969
740	2762	965
741	2766	961
742	2769	958
743	2773	954
744	2777	950
745	2781	946
746	2784	943
747	2788	939
748	2792	935
749	2796	932
750	2800	928
751	2803	924
752	2807	920
753	2811	917
754	2815	913
755	2818	909
756	2822	906
757	2826	902
758	2830	898
759	2834	895
760	2838	891
761	2842	887
762	2845	884
763	2849	880
764	2853	876
765	2857	872
766	2860	869
767	2864	865
768	2868	861
769	2872	857
770	2875	854
771	2879	850
772	2883	846
773	2887	843
774	2890	839
775	2894	835
776	2897	831
777	2901	828
778	2905	824
779	2908	820
780	2912	816
781	2916	812
782	2920	809
783	2924	805
784	2927	801
785	2931	798
786	2935	794
787	2938	790
788	2942	786
789	2946	783
790	2949	779
791	2953	775
792	2957	771
793	2960	768
794	2964	764
795	2968	760
796	2971	756
797	2975	753
798	2979	749
799	2982	745
800	2986	741
801	2990	738
802	2993	734
803	2997	730
804	3001	727
805	3004	723
806	3008	719
807	3012	715
808	3015	712
809	3019	708
810	3023	704
811	3027	700
812	3030	697
813	3034	693
814	3038	689
815	3041	685
816	3045	682
817	3049	678
818	3052	674
819	3056	670
820	3059	667
821	3063	663
822	3067	659
823	3070	655
824	3074	652
825	3078	648
826	3081	644
827	3085	640
828	3089	637
829	3092	633
830	3096	629
831	3100	626
832	3103	622
833	3107	618
834	3111	614
835	3114	611
836	3118	607
837	3122	603
838	3126	599
839	3129	596
840	3133	592
841	3137	588
842	3141	584
843	3144	581
844	3148	577
845	3152	573
846	3156	570
847	3159	566
848	3163	562
849	3167	558
850	3171	555
851	3174	551
852	3178	547
853	3182	544
854	3186	540
855	3189	536
856	3193	532
857	3197	529
858	3200	525
859	3204	521
860	3208	517
861	3212	514
862	3215	510
863	3219	506
864	3223	503
865	3226	499
866	3230	495
867	3234	491
868	3237	488
869	3241	484
870	3245	480
871	3249	476
872	3253	473
873	3256	469
874	3260	465
875	3264	462
876	3267	458
877	3271	454
878	3275	450
879	3278	447
880	3282	443
881	3286	439
882	3289	435
883	3293	432
884	3297	428
885	3300	424
886	3304	421
887	3308	417
888	3312	413
889	3316	409
890	3319	406
891	3323	402
892	3327	398
893	3331	395
894	3335	391
895	3339	387
896	3342	383
897	3346	380
898	3350	376
899	3353	372
900	3357	368
901	3361	365
902	3365	361
903	3369	357
904	3372	354
905	3376	350
906	3380	346
