iter	Logloss
0	0.6914480081
1	0.6895621659
2	0.6875336414
3	0.6856241969
4	0.683935077
5	0.6823289392
6	0.6809996758
7	0.6792793174
8	0.677614761
9	0.676155898
10	0.6749188547
11	0.6734127869
12	0.6721209562
13	0.670741017
14	0.6695376152
15	0.6684515311
16	0.6671243502
17	0.665978032
18	0.6647488919
19	0.6636546378
20	0.6626085497
21	0.6617473292
22	0.6607694851
23	0.6602074063
24	0.6592279603
25	0.6583490113
26	0.6574490231
27	0.6566258228
28	0.6557596362
29	0.6548858669
30	0.6540696619
31	0.6532567142
32	0.6524837624
33	0.6517851422
34	0.651010001
35	0.6502240198
36	0.6494455146
37	0.648732797
38	0.6481635627
39	0.6474591219
40	0.6469313254
41	0.646393383
42	0.645604892
43	0.6448860869
44	0.6441978795
45	0.6433749462
46	0.6428938738
47	0.6421211356
48	0.6416808601
49	0.6410165221
50	0.6404392246
51	0.6398406742
52	0.6394345742
53	0.6389161224
54	0.6383634419
55	0.6377976252
56	0.637196565
57	0.6367052934
58	0.6362357553
59	0.6358174802
60	0.6352724357
61	0.634754785
62	0.634213158
63	0.6337979267
64	0.6332248477
65	0.6326770799
66	0.6320565825
67	0.6315717188
68	0.6311077876
69	0.6306463126
70	0.630101375
71	0.6297276348
72	0.6292567616
73	0.6288551471
74	0.6283769583
75	0.6279806836
76	0.6275715398
77	0.627118769
78	0.6266746488
79	0.6263378607
80	0.6259589942
81	0.6255206411
82	0.6251861492
83	0.6247963359
84	0.6243956291
85	0.6240603897
86	0.623655411
87	0.6232800688
88	0.6229517712
89	0.6224933401
90	0.621949684
91	0.6214894372
92	0.6211747564
93	0.6208069969
94	0.6205511085
95	0.620085949
96	0.6197052669
97	0.6193746198
98	0.6188305365
99	0.6184472913
100	0.618079158
101	0.6178352843
102	0.6175100305
103	0.6169588451
104	0.6166084937
105	0.61618317
106	0.6157708756
107	0.6154956567
108	0.6150253176
109	0.6147402732
110	0.6144821955
111	0.614254662
112	0.6139576562
113	0.6135515028
114	0.6132882987
115	0.6129578651
116	0.6126611798
117	0.6123778442
118	0.6120941883
119	0.6116902776
120	0.6114259521
121	0.6111933457
122	0.6107862845
123	0.6105641443
124	0.6101839962
125	0.6098756698
126	0.6094208164
127	0.6090971112
128	0.6087265215
129	0.6084222535
130	0.6081486366
131	0.6078237565
132	0.6075252556
133	0.6071760256
134	0.6068275432
135	0.606533955
136	0.6059643469
137	0.6055770433
138	0.6052391339
139	0.6048362912
140	0.6044944837
141	0.6041345738
142	0.6037526101
143	0.6034534685
144	0.603220328
145	0.6030209893
146	0.6026516812
147	0.6023718166
148	0.6021387829
149	0.6018937879
150	0.6015575873
151	0.6013077864
152	0.6010408977
153	0.600675114
154	0.6004193323
155	0.6001890755
156	0.5996713179
157	0.5994391387
158	0.5990940738
159	0.5987522663
160	0.5984815863
161	0.5982595529
162	0.5979098423
163	0.597645677
164	0.5973716863
165	0.5970898993
166	0.5967927334
167	0.5964239059
168	0.595986514
169	0.5955436219
170	0.5952466696
171	0.5948835558
172	0.5946091379
173	0.5943161371
174	0.5938621381
175	0.5936584206
176	0.5933921193
177	0.5931345221
178	0.592792234
179	0.592512316
180	0.5923157005
181	0.5920686764
182	0.591705883
183	0.5914067413
184	0.5911884992
185	0.5909874516
186	0.5907266505
187	0.5904762088
188	0.5902824769
189	0.5899786361
190	0.5897930209
191	0.5895869004
192	0.589261166
193	0.588906596
194	0.5886735624
195	0.5883669449
196	0.5881406395
197	0.5878075894
198	0.5876663488
199	0.5873056914
200	0.5869390533
201	0.5865037439
202	0.5862657976
203	0.5859756269
204	0.585679529
205	0.585482967
206	0.5852656327
207	0.5848866594
208	0.5846795243
209	0.5844519908
210	0.5840960859
211	0.5838128571
212	0.5835839886
213	0.5832049619
214	0.5829839965
215	0.582723409
216	0.5825072495
217	0.5823278285
218	0.5820286868
219	0.5818587709
220	0.5814848705
221	0.5811385241
222	0.5809389183
223	0.5807927116
224	0.5805188277
225	0.5800858145
226	0.5799081557
227	0.5797339145
228	0.5795787901
229	0.5792956148
230	0.5789810942
231	0.5788081879
232	0.5785424741
233	0.578206487
234	0.5779261952
235	0.5777072055
236	0.577303722
237	0.5771136213
238	0.57680129
239	0.5764278702
240	0.5761701662
241	0.5759409773
242	0.5757381676
243	0.5755410716
244	0.57505797
245	0.5748101983
246	0.5745618925
247	0.5743010914
248	0.5740156199
249	0.5737507604
250	0.5735429312
251	0.5732877369
252	0.5730531547
253	0.5727554548
254	0.5725644463
255	0.57223177
256	0.5718615007
257	0.5716471568
258	0.5715107221
259	0.5712722952
260	0.5710490336
261	0.5709056571
262	0.5706813809
263	0.5704747264
264	0.5702456443
265	0.570054262
266	0.5698360733
267	0.5696469338
268	0.5694049291
269	0.5691868472
270	0.5689882026
271	0.568841729
272	0.5687056681
273	0.5684586973
274	0.5682320716
275	0.5680125479
276	0.5678180151
277	0.5675349999
278	0.5673467147
279	0.5670741658
280	0.566770859
281	0.5665036499
282	0.5663314913
283	0.5660008441
284	0.5656274777
285	0.5652771263
286	0.5651044871
